Time,Position/LatitudeDegrees,Position/LongitudeDegrees,AltitudeMeters,DistanceMeters,HeartRateBpm/Value
2019-09-28T17:18:17.000+02:00,46.863898277282715,19.87878656387329,97.8,0.0,87
2019-09-28T17:18:18.000+02:00,46.863898277282715,19.87877655029297,97.6,0.0,87
2019-09-28T17:18:19.000+02:00,46.863898277282715,19.878761649131775,97.6,0.0,87
2019-09-28T17:18:20.000+02:00,46.86387491226196,19.878724932670593,98.1,0.0,87
2019-09-28T17:18:21.000+02:00,46.86386156082153,19.878693222999573,97.6,0.0,87
2019-09-28T17:18:22.000+02:00,46.8638516664505,19.878653287887573,97.0,2.85,87
2019-09-28T17:18:23.000+02:00,46.86384832859039,19.87860655784607,96.5,5.8100000000000005,87
2019-09-28T17:18:24.000+02:00,46.8638516664505,19.878564953804016,96.1,8.950000000000001,87
2019-09-28T17:18:25.000+02:00,46.86385655403137,19.87852156162262,96.1,12.110000000000001,87
2019-09-28T17:18:26.000+02:00,46.86386156082153,19.87847661972046,96.1,15.320000000000002,85
2019-09-28T17:18:27.000+02:00,46.86386489868164,19.87843155860901,96.1,18.6,87
2019-09-28T17:18:28.000+02:00,46.86386489868164,19.878389954566956,96.3,21.900000000000002,88
2019-09-28T17:18:29.000+02:00,46.86386489868164,19.87835156917572,96.8,25.19,90
2019-09-28T17:18:30.000+02:00,46.8638699054718,19.878316640853882,96.8,28.430000000000003,91
2019-09-28T17:18:31.000+02:00,46.863884925842285,19.87829327583313,97.1,31.560000000000006,92
2019-09-28T17:18:32.000+02:00,46.863911628723145,19.8782799243927,97.3,34.47,94
2019-09-28T17:18:33.000+02:00,46.863938331604004,19.87827491760254,96.8,37.470000000000006,95
2019-09-28T17:18:34.000+02:00,46.86396324634552,19.87827491760254,96.3,40.470000000000006,97
2019-09-28T17:18:35.000+02:00,46.86399161815643,19.878278255462646,96.3,43.42,98
2019-09-28T17:18:36.000+02:00,46.86401832103729,19.87829828262329,96.1,46.510000000000005,103
2019-09-28T17:18:37.000+02:00,46.864046573638916,19.87831997871399,96.1,49.720000000000006,104
2019-09-28T17:18:38.000+02:00,46.864081621170044,19.87833333015442,96.3,53.050000000000004,105
2019-09-28T17:18:39.000+02:00,46.86411499977112,19.878348231315613,96.5,56.6,106
2019-09-28T17:18:40.000+02:00,46.86414659023285,19.878361582756042,96.8,60.220000000000006,107
2019-09-28T17:18:41.000+02:00,46.86417496204376,19.878374934196472,97.0,63.83000000000001,105
2019-09-28T17:18:42.000+02:00,46.864203214645386,19.878393292427063,97.1,67.4,106
2019-09-28T17:18:43.000+02:00,46.86423325538635,19.878408312797546,97.1,70.94,107
2019-09-28T17:18:44.000+02:00,46.864256620407104,19.878416657447815,97.1,74.41000000000001,108
2019-09-28T17:18:45.000+02:00,46.86428499221802,19.878429889678955,97.5,77.60000000000001,109
2019-09-28T17:18:46.000+02:00,46.86431157588959,19.87843656539917,97.1,80.82000000000001,115
2019-09-28T17:18:47.000+02:00,46.86433660984039,19.878448247909546,97.1,84.0,116
2019-09-28T17:18:48.000+02:00,46.86436331272125,19.87846326828003,97.3,87.16,117
2019-09-28T17:18:49.000+02:00,46.864391565322876,19.87848162651062,97.3,90.31,118
2019-09-28T17:18:50.000+02:00,46.864413261413574,19.878504991531372,97.3,93.48,119
2019-09-28T17:18:51.000+02:00,46.86443328857422,19.878531575202942,96.6,96.64,122
2019-09-28T17:18:52.000+02:00,46.86445498466492,19.878559947013855,95.8,99.78,123
2019-09-28T17:18:53.000+02:00,46.86447823047638,19.878581643104553,95.5,102.94,124
2019-09-28T17:18:54.000+02:00,46.86450159549713,19.878604888916016,95.0,106.08000000000001,125
2019-09-28T17:18:55.000+02:00,46.86452496051788,19.87862491607666,94.6,109.26,125
2019-09-28T17:18:56.000+02:00,46.864548325538635,19.87864327430725,94.1,112.45,128
2019-09-28T17:18:57.000+02:00,46.8645715713501,19.878653287887573,93.6,115.60000000000001,129
2019-09-28T17:18:58.000+02:00,46.864593267440796,19.87866497039795,92.6,118.68,130
2019-09-28T17:18:59.000+02:00,46.86461162567139,19.878679990768433,91.6,121.70000000000002,130
2019-09-28T17:19:00.000+02:00,46.86463165283203,19.878698229789734,91.1,124.65,131
2019-09-28T17:19:01.000+02:00,46.86465322971344,19.878716588020325,90.6,127.57000000000002,133
2019-09-28T17:19:02.000+02:00,46.864673256874084,19.878734946250916,90.0,130.47,133
2019-09-28T17:19:03.000+02:00,46.86469495296478,19.878753304481506,89.1,133.36,134
2019-09-28T17:19:04.000+02:00,46.864718317985535,19.878771662712097,88.8,136.24,135
2019-09-28T17:19:05.000+02:00,46.864741563797,19.87878656387329,88.3,139.12000000000003,136
2019-09-28T17:19:06.000+02:00,46.86476492881775,19.878803253173828,88.1,142.00000000000003,139
2019-09-28T17:19:08.000+02:00,46.8647882938385,19.87882161140442,87.8,147.93,140
2019-09-28T17:19:09.000+02:00,46.8648099899292,19.87884497642517,87.1,150.98,140
2019-09-28T17:19:10.000+02:00,46.8648282289505,19.878863215446472,86.6,154.01000000000002,140
2019-09-28T17:19:11.000+02:00,46.86485159397125,19.878878235816956,86.5,156.97000000000003,140
2019-09-28T17:19:12.000+02:00,46.86488330364227,19.878886580467224,86.1,159.92000000000002,140
2019-09-28T17:19:13.000+02:00,46.86491656303406,19.878891587257385,86.6,162.94,140
2019-09-28T17:19:14.000+02:00,46.86494827270508,19.878899931907654,86.8,166.04000000000002,140
2019-09-28T17:19:15.000+02:00,46.864973306655884,19.878901600837708,86.3,169.18000000000004,140
